,HomeTeam,AwayTeam,FTR
0,Brentford,Arsenal,A
1,Man United,Leeds,H
2,Burnley,Brighton,A
3,Chelsea,Crystal Palace,H
4,Everton,Southampton,A
5,Leicester,Wolves,H
6,Watford,Aston Villa,H
7,Norwich,Liverpool,H
8,Newcastle,West Ham,H
9,Tottenham,Man City,H
10,Liverpool,Burnley,H
11,Aston Villa,Newcastle,H
12,Crystal Palace,Brentford,A
13,Leeds,Everton,H
14,Man City,Norwich,H
15,Brighton,Watford,A
16,Southampton,Man United,A
17,Wolves,Tottenham,H
18,Arsenal,Chelsea,A
19,West Ham,Leicester,D
20,Man City,Arsenal,H
21,Aston Villa,Brentford,A
22,Brighton,Everton,H
23,Newcastle,Southampton,H
24,Norwich,Leicester,H
25,West Ham,Crystal Palace,A
26,Liverpool,Chelsea,H
27,Burnley,Leeds,A
28,Tottenham,Watford,H
29,Wolves,Man United,A
30,Crystal Palace,Tottenham,A
31,Arsenal,Norwich,H
32,Brentford,Brighton,H
33,Leicester,Man City,A
34,Man United,Newcastle,A
35,Southampton,West Ham,A
36,Watford,Wolves,H
37,Chelsea,Aston Villa,H
38,Leeds,Liverpool,A
39,Everton,Burnley,H
40,Newcastle,Leeds,A
41,Wolves,Brentford,A
42,Burnley,Arsenal,A
43,Liverpool,Crystal Palace,A
44,Man City,Southampton,A
45,Norwich,Watford,A
46,Aston Villa,Everton,A
47,Brighton,Leicester,H
48,West Ham,Man United,A
49,Tottenham,Chelsea,D
50,Chelsea,Man City,H
51,Man United,Aston Villa,A
52,Everton,Norwich,H
53,Leeds,West Ham,A
54,Leicester,Burnley,H
55,Watford,Newcastle,H
56,Brentford,Liverpool,A
57,Southampton,Wolves,H
58,Arsenal,Tottenham,H
59,Crystal Palace,Brighton,A
60,Man United,Everton,A
61,Burnley,Norwich,H
62,Chelsea,Southampton,A
63,Leeds,Watford,A
64,Wolves,Newcastle,H
65,Brighton,Arsenal,A
66,Crystal Palace,Leicester,A
67,Tottenham,Aston Villa,H
68,West Ham,Brentford,H
69,Liverpool,Man City,H
70,Watford,Liverpool,A
71,Aston Villa,Wolves,D
72,Leicester,Man United,D
73,Man City,Burnley,A
74,Norwich,Brighton,A
75,Southampton,Leeds,H
76,Brentford,Chelsea,D
77,Everton,West Ham,A
78,Newcastle,Tottenham,A
79,Arsenal,Crystal Palace,H
80,Arsenal,Aston Villa,H
81,Chelsea,Norwich,A
82,Crystal Palace,Newcastle,H
83,Everton,Watford,H
84,Leeds,Wolves,A
85,Southampton,Burnley,D
86,Brighton,Man City,A
87,Brentford,Leicester,H
88,West Ham,Tottenham,H
89,Man United,Liverpool,A
90,Leicester,Arsenal,H
91,Burnley,Brentford,A
92,Liverpool,Brighton,H
93,Man City,Crystal Palace,H
94,Newcastle,Chelsea,A
95,Watford,Southampton,H
96,Tottenham,Man United,H
97,Norwich,Leeds,D
98,Aston Villa,West Ham,A
99,Wolves,Everton,H
100,Southampton,Aston Villa,H
101,Man United,Man City,A
102,Brentford,Norwich,A
103,Chelsea,Burnley,H
104,Crystal Palace,Wolves,H
105,Brighton,Newcastle,A
106,Arsenal,Watford,H
107,Everton,Tottenham,A
108,Leeds,Leicester,A
109,West Ham,Liverpool,A
110,Leicester,Chelsea,A
111,Aston Villa,Brighton,H
112,Burnley,Crystal Palace,A
113,Newcastle,Brentford,A
114,Norwich,Southampton,A
115,Watford,Man United,A
116,Wolves,West Ham,H
